,Categorie,precision,recall,f1-score,support,programme,libelle,id
125,1940,0.5179153094462541,0.9875776397515528,0.6794871794871795,161.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
126,2060,0.9212765957446808,0.8668668668668669,0.8932439401753481,999.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
127,2220,0.3178137651821862,0.9515151515151516,0.4764795144157815,165.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
128,2280,0.952076677316294,0.9390756302521008,0.9455314648334217,952.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
129,2403,0.9510250569476082,0.8743455497382199,0.9110747408619748,955.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
130,2462,0.452892561983471,0.9647887323943662,0.6164229471316086,284.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
131,2522,0.9494204425711276,0.9028056112224448,0.9255264509501796,998.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
132,2582,0.9139344262295082,0.861003861003861,0.8866799204771371,518.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
133,2583,0.9845605700712587,0.829,0.9001085776330076,1000.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
134,2585,0.9276595744680852,0.87374749498998,0.8998968008255934,499.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
135,2705,0.9684601113172542,0.9456521739130436,0.9569202566452796,552.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
136,2905,0.5240963855421686,1.0,0.6877470355731226,174.0,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
137,accuracy,0.8687701223438506,0.8687701223438506,0.8687701223438506,0.8687701223438506,Model_Img_Reseau_RGB_EfficientNetB1_V01,EfficientNetB1 max5000 mIN2000 SIZE400  DR40-CC1024-CC1024-DR40,CNN25
138,10,0.6079365079365079,0.6147672552166934,0.6113328012769353,623.0,Model_Img_Reseau_RGB_EfficientNetB5_V01,EfficientNetB5 4000-2000 SIZE400 DEFREEZE  DR40-CC1024-CC1024-DR40,CNN26
