,Unnamed: 0.2,Unnamed: 0.1,Epoch,accuracy,programme,libelle,id
81,81.0,81.0,2,0.1473729610443115,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
82,82.0,82.0,3,0.1708907335996627,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
83,83.0,83.0,4,0.1848441064357757,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
84,84.0,84.0,5,0.1965141892433166,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
85,85.0,85.0,6,0.2026283144950866,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
86,86.0,86.0,7,0.2115077227354049,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
87,87.0,87.0,8,0.2181292325258255,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
88,88.0,88.0,9,0.2238881736993789,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
89,89.0,89.0,10,0.2275414168834686,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
90,90.0,90.0,11,0.2366491556167602,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
91,91.0,91.0,12,0.2434736341238021,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
92,92.0,92.0,13,0.2463657855987548,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
93,93.0,93.0,14,0.2511352896690368,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
94,94.0,94.0,15,0.2555496394634247,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
95,95.0,95.0,16,0.2599385976791382,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
96,96.0,96.0,17,0.2650379240512848,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
97,97.0,97.0,18,0.2681330442428589,IMG_Reseau_images_undersampling_weight,undersampling max 2400 class_weight,UNDER02
